"ID" "TIMESTAMP" "DAY" "DIST" "MAX" "MIN" "MEAN" "MEDIAN"
"20130510-130643" "2013-05-10T13:06:44Z" "Fri" 78.1838488776343 151.73192551572 0.0389118504492 27.4166049921233 26.802078201162
"20130511-140747" "2013-05-11T14:07:50Z" "Sat" 102.173040552653 169.54573593672 0 22.5959570924154 17.43526124964
"20130512-142457" "2013-05-12T14:24:58Z" "Sun" 83.6871660250007 113.91918627672 0 22.3658434292437 19.033618128552
"20130513-130125" "2013-05-13T13:01:26Z" "Mon" 66.736079067293 104.05934064252 0 27.6994892473782 30.200512993326
"20130515-025516" "2013-05-15T02:55:17Z" "Wed" 29.2015357784053 99.63488161404 0.020242597934376 23.2018002903994 23.528079159228
"20130515-130323" "2013-05-15T13:03:24Z" "Wed" 67.3578189329478 76.42690381404 0 27.2667880886174 29.508851216916
"20130516-131149" "2013-05-16T13:11:50Z" "Thu" 67.3516984591376 117.56311857036 0.0117644933358 28.0003863664749 30.805029432882
"20130518-011819" "2013-05-18T01:18:20Z" "Sat" 38.8680063832747 77.69521817532 0 21.1108077375142 18.910519885692
"20130518-144936" "2013-05-18T14:49:41Z" "Sat" 207.710564117555 623.5550918316 0 26.5923412904838 26.10868735584
"20130519-135523" "2013-05-19T13:55:24Z" "Sun" 122.023637035413 135.71437721904 0.024124428864072 20.9511226839659 14.769964703682
"20130521-004414" "2013-05-21T00:44:15Z" "Tue" 42.2021055543116 64.89386086464 0.04771200051756 22.0831966422688 20.915037449244
"20130521-130731" "2013-05-21T13:07:32Z" "Tue" 66.3649490334521 133.50686922432 0 29.1439619466321 31.263214700124
"20130523-005046" "2013-05-23T00:50:47Z" "Thu" 42.4187673409081 102.5477064288 0.030938180054184 22.1031037403181 20.69428264884
"20130523-131250" "2013-05-23T13:12:51Z" "Thu" 66.2455576559449 78.71052982032 0 29.351869407148 31.115192155956
"20130524-130654" "2013-05-24T13:06:55Z" "Fri" 78.4642833301745 86.50800309024 0 28.8937383794937 28.16997917562
"20130525-015607" "2013-05-25T01:56:08Z" "Sat" 18.108421253347 52.63205680584 0.004961959583508 20.0939023681258 19.924055015832
"20130525-221443" "2013-05-25T22:14:44Z" "Sun" 93.9724084392721 77.46267809736 0 23.0076426354491 20.453066112132
"20130526-152641" "2013-05-26T15:26:45Z" "Sun" 147.404007699925 189.76382753724 0 22.8187700090527 20.577610394046
"20130527-003808" "2013-05-27T00:38:09Z" "Mon" 3.93268806751586 30.051370017936 0 16.3648759270607 16.91656120062
"20130527-220439" "2013-05-27T22:04:40Z" "Tue" 47.5920565791901 982.3605339636 0 20.3842856994251 18.366873698088
"20130528-131019" "2013-05-28T13:10:31Z" "Tue" 66.6451087744024 114.88590784692 0 27.8797161802111 30.394747945692
"20130530-012843" "2013-05-30T01:28:44Z" "Thu" 50.7299522337479 65.930796765 0.10830184063668 19.0072024230317 17.207922326256
"20130531-013304" "2013-05-31T01:33:05Z" "Fri" 45.0673999131155 141.06056018652 0 21.6461328743992 19.790897481576
"20130531-123900" "2013-05-31T12:39:07Z" "Fri" 59.9210423392473 151.5604044672 0.011334755719296 31.2843071710003 34.316062586892
"20130601-140522" "2013-06-01T14:05:23Z" "Sat" 94.0594931058476 175.91589283176 0 23.6864669876118 22.033654258104
"20130602-135736" "2013-06-02T13:57:37Z" "Sun" 194.967128452684 1733.5323464076 0 27.1320967590112 24.086709701604
"20130604-130649" "2013-06-04T13:06:50Z" "Tue" 76.8667775504861 76.65513395436 0.028659503787912 27.3874690418903 26.70703371909
"20130605-130149" "2013-06-05T13:01:50Z" "Wed" 66.9609247744417 83.26525932072 0 28.3544428049487 30.064079083968
"20130606-130502" "2013-06-06T13:05:03Z" "Thu" 76.8314759646701 66.51039205692 0 27.9596024690921 27.081720971208
"20130608-145724" "2013-06-08T14:57:25Z" "Sat" 154.48893579582 442.0134176004 0 16.5786810726898 13.364924281488
"20130610-130641" "2013-06-10T13:06:42Z" "Mon" 66.5468018389273 119.13671741076 0.04287428816688 29.3507751305637 31.39131323466
"20130611-130339" "2013-06-11T13:03:40Z" "Tue" 67.3841076788495 85.43497418208 0.005791716645048 30.082395168933 31.70098262727
"20130612-130342" "2013-06-12T13:03:43Z" "Wed" 67.8986847082447 109.39431287196 0 27.7664874417762 30.088205980308
"20130613-130908" "2013-06-13T13:09:09Z" "Thu" 76.9601486878592 111.3751817946 0.020004733599948 29.8811646846031 29.048458527918
"20130615-151953" "2013-06-15T15:19:54Z" "Sat" 138.254507741216 100.1094727212 0 25.4014424438629 24.851195513136
"20130617-130449" "2013-06-17T13:04:53Z" "Mon" 65.6722625972716 121.92190981416 0 31.1048790967531 33.8211148077
"20130618-130054" "2013-06-18T13:00:55Z" "Tue" 77.0407701810202 144.50767405452 0.011700752310864 31.471646171881 31.15542657078
"20130619-130346" "2013-06-19T13:03:47Z" "Wed" 67.4956625586281 92.20892876136 0.004698005518152 30.4753006021297 32.786471950182
